date,sr,fact,enc_hub
2022-06-04,6365,8019,57
2021-06-07,4781,4347,90
2021-07-31,4994,5099,105
2021-07-31,210,221,34
2021-07-31,140,64,125
2022-07-05,21484,25754,47
2022-06-04,286,636,99
2022-07-05,1358,1869,121
2021-06-07,7316,6948,18
2021-12-03,1202,76,96
2022-06-04,2,7,86
2022-07-05,18361,22613,67
2021-12-03,1104,1312,113
2022-07-05,717,696,75
2022-07-05,3630,7325,24
2021-02-13,4246,5210,105
2021-12-03,4,7,110
2021-06-07,2591,2601,77
2022-07-05,2508,2231,111
2022-07-05,1923,2209,136
2021-07-31,63,73,79
2022-03-03,2305,2146,92
2021-02-13,6117,7725,104
2021-06-07,3519,4002,53
2021-06-07,2307,2372,94
2021-02-13,87,78,79
2021-03-22,460,350,34
2021-06-07,908,1882,128
2022-03-03,774,688,36
2021-07-31,5510,6407,104
2022-06-04,784,1015,5
2021-03-22,256,302,3
2021-12-03,2304,2563,10
2021-07-31,153,208,121
2021-12-03,153,152,49
2022-03-03,249,530,81
2021-12-03,554,579,125
2022-06-04,3034,2840,124
2021-02-13,343,115,121
2021-12-03,2231,3253,134
2021-06-07,394,367,132
2021-12-03,1312,1437,131
2021-06-07,188,205,15
2022-03-03,5,77,32
2021-12-03,43828,44192,68
2022-03-03,1,202,1
2021-02-13,6272,6909,65
2021-12-03,1458,1563,4
2021-06-07,1364,1408,135
2021-03-22,7176,8528,105
2021-06-07,13982,15002,63
2022-03-03,2,4,82
2022-06-04,5,6,0
2022-06-04,1855,2397,61
2022-03-03,856,808,28
2022-06-04,8046,7770,101
2021-12-03,12975,13790,105
2022-03-03,753,1335,41
2021-07-31,5742,5534,17
2021-06-07,4,3,37
2021-07-31,4714,5653,65
2021-06-07,484,489,113
2022-07-05,9072,10165,58
2021-06-07,1849,3034,133
2022-06-04,6903,7409,65
2021-12-03,3368,3695,89
2021-03-22,4072,4497,64
2021-12-03,276,224,8
2022-07-05,5,221,81
2022-07-05,1117,1064,28
2021-12-03,15348,15466,57
2021-12-03,17965,16419,103
2022-03-03,21297,24183,56
2021-02-13,110,163,50
2021-03-22,3073,3538,25
2022-07-05,506,446,80
2021-12-03,6161,7441,46
2021-12-03,3447,1311,107
2021-06-07,2004,3605,84
2021-07-31,392,441,122
2021-06-07,4004,3764,31
2021-12-03,893,810,86
2022-03-03,9051,12073,58
2021-06-07,1,1,13
2022-06-04,2465,3318,24
2022-06-04,192,670,109
2022-06-04,1615,2709,119
2021-03-22,224,230,112
2022-07-05,6,24,40
2021-03-22,23211,26362,62
2022-07-05,3,20,1
2022-06-04,370,364,75
2021-06-07,100,79,23
2021-12-03,1135,1206,43
2021-03-22,439,458,98
2021-12-03,6990,6570,25
2022-07-05,12,8,36
2022-07-05,2,16,82
2021-02-13,5049,6354,61
2021-07-31,702,791,50
2021-12-03,58855,48455,62
2021-06-07,581,443,97
2021-03-22,2628,2694,33
2021-03-22,440,369,108
2022-06-04,677,848,79
2021-02-13,155,144,115
2022-06-04,7178,8723,60
2021-06-07,2214,4738,44
2021-06-07,272,261,22
2021-12-03,3452,3086,98
2022-03-03,1715,1782,85
2022-06-04,54,183,47
2021-07-31,158,200,5
2021-07-31,6285,7709,61
2022-03-03,5342,5427,55
2021-12-03,1233,1930,108
2022-07-05,75,611,41
2021-12-03,1525,1801,26
2021-12-03,1401,1440,116
2022-06-04,6784,8864,67
2022-06-04,7564,8537,104
2021-12-03,2193,2453,12
2022-07-05,9,95,92
2021-12-03,7134,6598,64
2022-03-03,2005,3218,136
2021-12-03,1054,1138,30
2021-12-03,8765,13813,19
2021-03-22,188,219,38
2022-03-03,36,295,111
2022-06-04,466,1424,121
2021-07-31,179,170,118
2021-02-13,17,980,122
2021-12-03,648,882,99
2021-03-22,7902,8831,103
2022-03-03,4834,5891,91
2021-12-03,10884,12866,33
2021-06-07,2030,2575,71
2021-06-07,998,1095,98
2021-07-31,751,1168,11
2022-07-05,3921,3487,37
2021-12-03,1042,1102,35
2022-07-05,711,667,110
2021-12-03,1690,1611,122
2022-03-03,6087,6591,120
2022-03-03,6888,6947,84
2022-07-05,1,52,7
2022-03-03,4452,6252,31
2022-06-04,11709,18717,56
2021-06-07,318,287,112
2022-07-05,9639,8491,76
2021-06-07,153,152,108
2022-03-03,9,17,13
2021-03-22,239,301,50
2022-07-05,2192,1926,39
2021-06-07,416,1281,26
2021-02-13,8,230,11
2022-06-04,5423,6372,58
2021-02-13,2351,2866,90
2022-03-03,8,15,130
2021-12-03,20,19,0
2021-03-22,9938,11418,61
2022-03-03,517,604,23
2021-06-07,3530,3273,33
2022-07-05,10,27,117
2021-06-07,9985,9889,103
2021-06-07,3706,3861,64
2021-07-31,66,75,28
2021-07-31,206,291,100
2022-07-05,7943,8821,14
2022-03-03,8271,7172,44
2021-06-07,2086,2356,25
2021-02-13,1134,1565,72
2022-03-03,2833,3067,97
2021-03-22,162,178,118
2022-06-04,1715,1818,85
2021-03-22,286,265,115
2022-07-05,45,211,69
2021-06-07,2,2,86
2021-06-07,346,333,38
2021-12-03,2237,2148,5
2021-02-13,98,89,28
2022-03-03,2230,1114,127
2022-07-05,1821,2283,21
2021-02-13,278,330,100
2022-06-04,4054,5410,91
2021-06-07,486,726,116
2022-07-05,3627,3415,129
2021-02-13,1,1,6
2021-07-31,2,7,93
2021-02-13,6120,6247,18
2022-06-04,3,34,111
2022-07-05,4729,4343,53
2022-07-05,47,211,96
2022-07-05,487,648,51
2021-03-22,5,1028,122
2021-06-07,21875,24569,62
2022-06-04,589,1269,136
2022-07-05,15065,13445,63
2021-12-03,456,417,32
2022-06-04,1543,1795,31
2021-02-13,513,552,135
2022-03-03,4,24,98
2022-06-04,2,31,13
2022-03-03,5256,5159,20
2021-12-03,1,1,1
2021-07-31,1,119,37
2021-12-03,604,691,41
2022-06-04,101,90,73
2021-06-07,112,59,118
2021-07-31,548,707,133
2021-02-13,9525,11308,63
2022-06-04,2,3,74
2021-12-03,2,140,36
2022-07-05,3865,10830,105
2021-02-13,223,306,15
2022-03-03,1298,2248,108
2021-06-07,587,2078,122
2022-07-05,1319,1361,125
2021-03-22,2867,3549,90
2021-03-22,2280,2091,11
2021-02-13,7,13,126
2022-06-04,845,961,23
2021-07-31,231,257,113
2021-06-07,718,600,5
2021-07-31,129,265,39
2022-06-04,1718,1350,120
2021-07-31,1287,1109,76
2022-07-05,6249,7194,134
2022-06-04,1,66,87
2021-02-13,124,150,113
2021-12-03,522,561,28
2021-02-13,3545,4083,53
2022-03-03,8850,12496,33
2021-02-13,640,2077,133
2022-03-03,3,4,8
2022-06-04,1071,2722,45
2022-03-03,273,1016,99
2022-03-03,4075,5464,64
2022-07-05,5508,5796,49
2022-03-03,2130,2056,30
2022-07-05,1,89,9
2022-03-03,4930,6612,46
2022-03-03,4267,5803,25
2022-03-03,14182,17494,103
2021-07-31,1622,1856,94
2022-03-03,3823,5661,89
2021-07-31,611,672,128
2021-06-07,914,1142,50
2021-02-13,1238,1206,77
2021-07-31,2716,3467,53
2022-03-03,4382,5220,12
2022-03-03,11,2,86
2021-03-22,2534,2980,72
2022-07-05,2193,2726,131
2022-03-03,12752,18421,57
2022-07-05,25,349,10
2021-03-22,204,220,28
2021-03-22,603,751,100
2022-03-03,5490,5507,107
2022-07-05,27620,29772,68
2022-03-03,1983,2170,116
2021-06-07,9988,11211,61
2021-03-22,866,981,6
2021-02-13,3051,3132,94
2021-07-31,10981,12452,63
2022-07-05,1279,1289,4
2021-02-13,535,1611,128
2021-03-22,6031,6211,18
2021-07-31,273,433,135
2021-12-03,166,163,81
2021-12-03,477,518,92
2022-03-03,2400,2557,43
2022-03-03,23274,29222,62
2021-07-31,58,86,102
2021-07-31,539,632,15
2022-02-15,1035,1056,117
2021-03-05,119,127,28
2021-08-09,1041,1164,50
2022-01-30,181,403,21
2022-02-15,37377,43994,66
2021-03-05,1683,1305,11
2022-04-15,46,223,9
2022-07-13,1,14,87
2021-11-09,16643,17607,104
2021-03-05,2001,2563,72
2022-04-15,800,995,10
2021-10-27,50,70,85
2022-01-30,640,1050,14
2021-10-27,424,545,111
2021-11-09,8186,8683,17
2022-02-15,20001,23563,63
2021-11-09,937,1043,79
2022-01-30,2986,3457,53
2021-11-09,155,123,75
2022-04-15,1540,2152,131
2021-08-09,706,825,122
2022-02-15,1275,1537,113
2022-01-30,57,232,69
2022-02-15,11535,10661,76
2021-10-27,3157,3993,91
2021-08-09,12727,14596,61
2022-02-15,5403,4918,37
2022-02-15,15,118,21
2021-03-05,1082,1198,6
2021-03-05,356,462,100
2022-02-15,507,450,110
2022-04-15,1007,1301,4
2022-06-24,3075,3162,111
2021-11-09,1066,973,121
2021-11-09,383,519,60
2022-02-15,2542,2110,39
2022-04-15,25014,33436,68
2022-01-30,268,413,102
2022-02-15,4,3,7
2022-01-30,11053,15403,66
2021-03-05,7494,6827,18
2022-02-15,5968,6609,53
2022-01-30,139,304,117
2022-06-24,8129,9141,58
2021-03-05,2562,3193,90
2022-02-15,215,215,51
2022-07-13,3705,3158,120
2022-07-13,1034,980,13
2022-01-30,6530,8479,63
2022-06-24,2426,2638,136
2022-07-13,3525,4259,31
2021-11-09,16551,14774,65
2021-11-09,1528,1671,119
2022-02-15,450,469,96
2021-08-09,780,764,5
2022-02-15,6118,6404,14
2021-08-09,115,126,118
2021-11-09,679,842,47
2022-04-15,4330,4706,134
2022-04-15,874,824,125
2022-01-30,1232,1370,76
2022-01-30,165,354,113
2022-02-15,2013,2422,69
2022-01-30,10,94,39
2022-02-15,1633,1805,102
2022-07-13,4122,4457,45
2022-04-15,4276,5635,49
2022-07-13,44,61,23
2022-01-30,9,157,37
2022-07-13,2,8,73
2022-01-30,166,179,110
2022-02-15,6932,7680,134
2021-03-05,66,77,126
2022-06-24,142,448,23
2022-04-15,2770,3823,24
2022-07-13,62,429,46
2022-01-30,293,274,131
2022-06-24,2525,2596,45
2022-07-13,3513,4006,12
2022-01-30,16145,19115,68
2021-03-05,376,414,132
2022-06-24,1377,1339,87
2022-01-30,359,390,4
2021-03-05,235,299,113
2022-07-13,14626,17837,57
2021-10-27,7136,6644,44
2021-03-05,1494,3569,133
2022-06-24,1,32,74
2022-07-13,1842,2134,116
2021-03-05,1887,2092,77
2021-08-09,705,741,100
2022-06-24,3485,3819,31
2022-04-15,1167,1735,67
2022-07-13,8,14,86
2021-10-27,1889,2289,127
2021-10-27,2247,3076,71
2022-04-15,8150,9999,60
2022-04-15,44,269,75
2022-01-30,6335,7613,105
2022-07-13,6541,6175,42
2021-11-09,3814,4483,91
2022-04-15,1986,2020,79
2022-02-15,1596,1663,10
2021-08-09,132,151,28
2022-07-13,11767,16877,62
2022-04-15,5431,5955,119
2022-02-15,1012,1186,125
2022-07-13,18,103,98
2021-11-09,797,870,111
2021-08-09,1598,1625,11
2021-03-05,1111,2098,128
2022-02-15,1932,2378,131
2021-10-27,4275,4806,84
2022-06-24,5386,5109,120
2022-07-13,9234,10080,33
2021-10-27,3625,3759,31
2021-10-27,595,623,13
2021-03-05,1690,2139,94
2022-02-15,2643,2608,4
2021-10-27,10,8,73
2022-02-15,1340,1736,49
2021-11-09,1852,2031,58
2022-07-13,66,1598,20
2022-02-15,45679,43439,68
2022-04-15,636,741,121
2022-04-15,7511,9998,65
2021-10-27,456,451,23
2021-03-05,14904,18048,63
2021-10-27,1006,357,120
2022-02-15,6,132,9
2022-06-24,1,2,2
2022-01-30,1161,829,10
2022-06-24,19,32,13
2021-03-05,5142,6187,53
2022-01-30,353,577,49
2022-07-13,2349,2252,30
2022-01-30,146,103,125
2022-06-24,258,240,73
2021-08-09,369,272,93
2022-04-15,11771,14099,104
2021-10-27,876,942,97
2021-03-05,489,576,15
2022-02-15,15314,17000,105
2022-07-13,278,349,99
2022-01-30,1946,1606,134
2021-03-05,937,1105,135
2021-11-09,26,41,85
2021-10-27,13,16,130
2022-07-13,1,3,8
2021-10-27,690,727,22
2022-07-13,8319,8714,103
2021-03-05,109,118,112
2021-10-27,1035,1100,10
2021-11-09,588,608,117
2022-02-15,33,28,0
2021-08-09,49,33,23
2022-07-13,2749,3026,109
2022-07-13,3199,4253,83
2021-11-09,511,744,21
2022-02-15,3888,3485,124
2021-11-09,186,173,110
2022-04-15,211,219,82
2021-11-09,143,368,37
2021-10-27,19215,22657,68
2022-01-30,1472,1315,124
2022-07-13,750,38,65
2021-08-09,4106,3861,84
2021-03-05,11062,10341,103
2022-06-24,6337,6438,49
2022-04-15,240,245,80
2022-01-30,156,330,5
2022-07-13,7,280,75
2021-11-09,1064,1227,113
2021-11-09,2925,3163,135
2021-03-05,3887,3854,33
2022-04-15,733,1112,92
2022-06-24,27017,28222,68
2021-11-09,2820,3034,133
2022-04-15,763,1209,81
2022-06-24,884,1005,10
2021-03-05,164,205,38
2021-03-05,4088,4547,64
2022-07-13,12132,14630,60
2022-07-13,2531,2030,78
2021-03-05,84,95,98
2021-03-05,103,99,108
2021-11-09,3903,3966,14
2021-11-09,759,830,69
2021-03-05,21028,27331,62
2021-08-09,3358,4335,71
2021-11-09,666,608,96
2022-07-13,16599,23855,67
2022-04-15,586,1012,28
2021-10-27,463,375,125
2022-07-13,25,43,79
2022-07-13,16823,16155,104
2022-07-13,4332,4651,119
2022-07-13,19169,24738,47
2022-01-30,322,383,35
2022-02-15,2579,2734,5
2021-08-09,2,3,88
2021-08-09,4329,3879,31
2021-10-27,9168,10885,105
2021-03-05,2267,3407,25
2021-11-09,960,1127,102
2022-04-15,3,333,36
2022-04-15,16,55,1
2022-01-30,11,10,0
2021-08-09,6198,5008,44
2022-07-13,3761,5564,24
2021-11-09,6563,7053,53
2022-04-15,1890,1778,32
2021-11-09,4838,5036,94
2021-10-27,782,763,131
2021-08-09,2,2,13
2021-11-09,29493,33528,66
2021-08-09,531,592,22
2022-06-24,2118,2789,131
2021-11-09,19782,20042,63
2022-07-13,4013,4889,48
2022-07-13,997,1510,121
2022-06-24,1,6,9
2021-08-09,726,574,97
2022-04-15,1171,2106,41
2021-11-09,8816,6459,76
2022-06-24,1123,1552,125
2022-06-24,4932,6029,134
2021-11-09,532,615,39
2022-06-24,570,569,4
2021-10-27,1360,1719,134
2022-02-15,1931,2034,35
2021-10-27,619,680,4
2021-03-05,5302,7215,105
2021-08-09,2001,2284,133
2021-11-09,510,528,87
2022-06-24,3078,3970,12
2021-10-27,2411,2267,89
2021-08-09,1932,2047,15
2021-10-27,1,1,86
2022-02-15,1573,1746,79
2021-10-27,3570,5116,57
2021-11-09,3176,3909,71
2021-10-27,4,4,8
2022-02-15,9576,13210,60
2021-11-09,1711,2034,97
2021-10-27,15165,14670,103
2022-02-15,44,40,78
2021-11-09,3739,3937,127
2021-08-09,19825,19729,63
2022-06-24,747,919,30
2021-10-27,1837,2413,46
2022-02-15,15135,1767,47
2021-10-27,177,209,107
2021-08-09,2496,2887,135
2022-06-24,1444,1255,86
2022-02-15,19374,21678,104
2021-08-09,629,681,113
2022-02-15,1828,2023,121
2021-08-09,3002,3036,76
2022-06-24,19102,20406,62
2021-11-09,5459,5043,31
2022-01-30,1755,2537,119
2022-06-24,2655,3234,46
2022-06-24,2543,2790,98
2021-11-09,9,6,114
2021-10-27,3710,3716,25
2022-04-15,1640,2331,55
2021-08-09,344,405,39
2022-06-24,1801,2231,116
2022-01-30,86,79,75
2021-10-27,463,479,43
2021-08-09,1,1,110
2022-07-13,1029,886,0
2021-08-09,979,818,37
2022-01-30,2123,3362,65
2022-01-30,2698,3223,17
2022-06-24,3763,3766,42
2022-04-15,1724,2570,136
2022-01-30,349,406,79
2022-02-15,13614,12716,65
2022-06-24,8919,10139,33
2022-04-15,6578,8595,91
2022-04-15,6508,9145,58
2021-10-27,35090,41756,62
2022-04-15,3073,3017,111
2022-01-30,3705,6578,47
2022-06-24,516,1270,99
2022-01-30,4808,6397,60
2021-10-27,794,1026,26
2021-10-27,2053,2182,98
2021-08-09,1330,1384,128
2022-06-24,7009,6541,20
2021-10-27,1247,1054,116
2021-11-09,19,23,130
2021-08-09,5008,6051,53
2021-08-09,2928,3635,94
2021-08-09,76,92,14
2021-11-09,900,806,120
2021-10-27,6339,5208,33
2022-02-15,7201,8393,119
2022-01-30,2998,4303,104
2022-07-13,4123,3974,124
2021-03-05,152,227,34
2021-10-27,1721,1959,12
2022-02-15,845,2118,24
2022-07-13,1640,1898,5
2022-06-24,544,485,8
2022-06-24,10253,12182,57
2021-11-09,4,10,13
2021-10-27,3442,4622,64
2022-01-30,5,203,121
2022-06-24,11556,12254,103
2021-10-27,376,583,99
2021-10-27,4,253,30
2021-10-27,805,1247,108
2022-04-15,6326,8230,85
2021-10-27,8097,9891,19
2021-11-09,5576,6164,84
2021-03-05,121,152,3
2022-02-15,211,250,75
2021-11-09,12,14,73
