date,sr,fact,enc_hub
2021-09-10,7871,9078,105
2021-10-04,643,711,4
2022-02-09,720,671,125
2021-09-10,114,79,95
2021-10-04,3750,4486,68
2021-03-10,185,210,3
2022-02-09,6149,5658,134
2021-03-10,897,700,34
2022-02-09,686,932,49
2022-01-02,28,25,28
2021-10-04,10007,10615,105
2021-09-10,645,738,131
2022-02-09,280,152,82
2022-01-02,16087,14847,62
2021-03-10,3299,3761,72
2021-09-10,212,295,93
2021-03-10,473,582,100
2022-01-02,377,497,98
2021-08-07,56,2,131
2021-03-10,183,180,28
2022-01-02,119,129,108
2022-01-02,568,398,26
2022-01-02,514,267,116
2021-03-10,1751,1630,11
2021-09-10,247,252,28
2021-08-07,141,321,4
2022-01-02,2298,1955,64
2022-02-09,6,361,92
2022-01-02,63,72,30
2022-01-02,1094,681,19
2021-08-07,2610,2502,68
2021-09-10,1357,1870,11
2022-01-02,96,217,99
2021-03-10,1629,1520,6
2021-08-07,5566,5944,105
2021-10-04,228,218,28
2021-08-07,267,292,34
2022-01-02,2042,1334,33
2022-01-02,1016,395,89
2022-01-02,3974,2773,57
2022-01-02,3453,3780,46
2022-01-02,2734,3420,103
2022-02-09,434,606,28
2022-02-09,173,305,81
2021-09-10,376,566,100
2022-02-09,473,971,41
2022-01-02,2161,829,107
2021-03-10,7920,7075,18
2022-01-02,1510,662,12
2022-02-09,98,103,40
2022-02-09,1,12,32
2021-10-04,294,309,93
2022-02-09,11,124,1
2022-01-02,221,198,43
2021-08-07,500,431,134
2021-03-10,3694,4161,90
2021-08-07,92,24,125
2022-01-02,2673,2501,25
2021-08-07,288,100,29
2022-02-09,3088,3644,127
2022-02-09,7213,7901,44
2022-02-09,3952,4496,31
2021-03-10,219,213,22
2022-02-09,5636,6311,120
2022-01-02,102,89,121
2021-09-10,258,336,87
2021-10-04,169,364,120
2021-09-10,3595,3542,97
2021-10-04,1878,2081,127
2021-10-04,793,693,22
2021-10-04,457,507,88
2021-09-10,4,4,73
2021-10-04,369,374,13
2021-09-10,2849,3634,71
2022-01-02,2237,1917,104
2022-01-02,92,125,75
2022-01-02,821,906,119
2022-01-02,1119,1486,47
2021-08-07,634,633,122
2022-01-02,2264,2746,60
2021-10-04,1488,1345,97
2021-03-10,2385,3712,84
2022-02-09,674,839,13
2021-10-04,6293,6836,44
2021-10-04,127,113,23
2021-10-04,2660,2863,31
2022-02-09,1297,1551,97
2022-02-09,35,40,74
2021-09-10,6,6,130
2021-09-10,539,576,13
2022-02-09,8,84,130
2021-08-07,204,198,118
2022-02-09,722,770,23
2021-10-04,4517,4998,84
2021-09-10,246,384,88
2021-10-04,2,1,73
2021-03-10,3938,3958,31
2021-03-10,498,425,97
2022-02-09,4764,5722,84
2021-09-10,602,612,22
2021-08-07,671,1112,50
2022-01-02,84,32,79
2021-08-07,7732,9302,61
2021-09-10,4778,3989,31
2021-09-10,185,189,23
2021-08-07,179,227,5
2021-10-04,3,4,87
2021-09-10,24,585,127
2021-09-10,4250,4268,84
2021-10-04,23,23,130
2021-10-04,3376,4717,71
2022-01-02,4970,6281,65
2022-02-09,4,38,87
2022-01-02,636,776,17
2021-09-10,5360,6288,44
2022-02-09,98,95,73
2022-02-09,62,84,114
2021-10-04,2,7,86
2022-02-09,1372,1338,26
2022-02-09,1821,1924,116
2021-09-10,51,54,43
2021-09-10,2794,3970,25
2021-09-10,641,1378,89
2021-10-04,11451,13164,103
2021-09-10,3388,4236,57
2022-02-09,3188,3000,43
2022-02-09,22145,27610,62
2022-02-09,4165,5781,64
2021-03-10,5764,4957,33
2021-10-04,480,553,46
2022-02-09,1637,1679,30
2022-01-02,1218,968,58
2022-02-09,2783,2500,98
2021-09-10,800,902,116
2021-03-10,10627,10134,103
2022-02-09,3515,4394,89
2021-09-10,108,131,86
2021-10-04,212,195,43
2022-01-02,316,10,55
2021-08-07,10,13,93
2021-10-04,2840,3681,25
2022-02-09,4210,6449,46
2021-03-10,299,316,38
2021-10-04,4780,4756,57
2022-02-09,10702,10631,19
2021-09-10,31999,39460,62
2022-02-09,2488,3204,12
2022-02-09,708,1339,108
2021-09-10,1213,1434,98
2021-08-07,726,806,11
2022-02-09,3997,5301,107
2021-09-10,656,934,108
2021-03-10,5938,6063,64
2021-09-10,5598,4915,33
2021-10-04,1177,1604,26
2021-10-04,983,1002,116
2021-10-04,34954,41307,62
2022-02-09,563,839,99
2022-02-09,8875,10008,33
2021-10-04,1497,1633,98
2022-01-02,10,45,85
2022-02-09,2,6,8
2021-09-10,516,596,112
2021-03-10,3886,3875,25
2021-09-10,961,1648,19
2022-01-02,228,262,91
2021-03-10,27390,28948,62
2021-10-04,755,835,99
2021-10-04,4402,5334,33
2022-02-09,3918,4325,25
2022-02-09,11224,14930,103
2022-02-09,9009,12920,57
2021-09-10,373,675,26
2022-02-09,543,1599,20
2021-10-04,1687,2197,12
2021-10-04,910,1111,108
2021-03-10,265,271,98
2021-10-04,4031,4789,64
2021-10-04,4755,5120,19
2022-01-02,82,73,111
2021-03-10,203,211,112
2021-03-10,11,12,108
2021-08-07,56,59,28
2022-01-02,65,241,136
2021-09-10,84,90,8
2021-10-04,1425,2309,89
2021-09-10,13839,12775,103
2021-08-07,214,289,100
2021-09-10,4134,5396,64
2022-01-02,503,1520,31
2021-10-04,549,543,35
2022-02-09,746,1095,5
2021-08-07,1509,1896,94
2021-10-04,1010,1200,122
2021-08-07,683,714,128
2021-09-10,859,1052,50
2021-08-07,3172,3894,53
2021-08-07,12,30,14
2021-03-10,400,362,115
2021-09-10,504,579,35
2022-01-02,421,450,84
2022-01-02,18,20,130
2021-03-10,226,249,50
2021-09-10,11429,14332,61
2021-08-07,14655,16133,63
2022-01-02,6,1,23
2022-01-02,697,859,120
2021-08-07,254,349,135
2021-10-04,1002,1135,50
2022-02-09,1071,1241,35
2021-03-10,17,905,122
2021-08-07,54,119,102
2021-08-07,617,587,15
2022-02-09,91,82,0
2021-08-07,11,3,37
2022-02-09,2162,1505,124
2021-08-07,624,768,133
2021-09-10,325,349,118
2021-03-10,14765,16028,61
2021-10-04,881,955,5
2022-01-02,1752,1403,44
2021-09-10,1234,1255,122
2022-01-02,677,290,127
2021-08-07,1444,1123,76
2021-08-07,331,345,113
2021-08-07,132,212,39
2021-09-10,784,856,5
2021-03-10,274,292,118
2022-01-02,565,319,97
2021-09-10,272,423,39
2021-03-10,428,471,113
2021-10-04,4,5,110
2021-10-04,592,756,102
2021-10-04,1339,1090,37
2022-02-09,2100,2789,14
2021-10-04,2488,2777,133
2021-10-04,727,788,113
2021-03-10,408,584,132
2021-09-10,232,298,15
2022-02-09,871,1315,69
2021-09-10,1389,1987,135
2021-03-10,111,126,126
2022-02-09,17,155,39
2021-10-04,10196,14192,66
2021-09-10,18737,18770,63
2022-02-09,1818,2303,21
2022-02-09,4231,5343,53
2022-01-02,217,316,5
2021-09-10,1176,1006,37
2021-10-04,3831,2957,76
2021-10-04,488,600,39
2021-09-10,131,119,110
2021-10-04,299,324,117
2022-02-09,187,265,96
2022-02-09,78,67,51
2021-03-10,1744,2514,128
2021-08-07,4895,5812,65
2021-08-07,7226,7553,17
2021-03-10,2872,3402,94
2021-09-10,3733,3845,76
2021-09-10,672,772,113
2021-03-10,2574,2336,77
2021-09-10,1813,2272,133
2022-02-09,13065,17692,63
2021-08-07,115,116,79
2021-10-04,3374,3652,94
2022-01-02,48,45,35
2021-09-10,6410,5932,53
2022-02-09,1037,1212,102
2022-02-09,5,9,110
2021-10-04,5588,6506,53
2021-10-04,2541,2745,14
2022-02-09,25,231,37
2022-02-09,1149,1048,7
2022-01-02,622,545,122
2022-02-09,6873,7358,76
2022-02-09,715,1085,113
2021-09-10,1664,1531,128
2021-03-10,23,198,15
2021-08-07,5967,6869,104
2021-09-10,2547,2744,14
2021-10-04,650,656,69
2021-03-10,2272,3694,133
2021-03-10,8081,8557,53
2021-10-04,16666,19636,63
2021-08-07,113,177,121
2021-09-10,504,683,102
2021-10-04,2481,2914,135
2022-02-09,26235,35626,66
2021-09-10,3119,3388,94
2021-09-10,363,505,69
2021-03-10,1988,2087,135
2021-03-10,20384,18781,63
2022-02-09,619,729,117
2022-01-05,9642,9442,105
2021-01-15,2449,2143,94
2021-05-05,841,1006,121
2021-01-15,874,2022,128
2021-04-19,10143,11733,104
2021-01-15,6654,7580,53
2021-04-19,199,180,79
2021-12-20,2470,2262,131
2022-06-08,15,143,28
2021-05-05,9879,10649,65
2022-06-08,7,242,81
2022-06-08,13,378,92
2021-03-15,7072,9028,105
2021-12-20,4519,5503,10
2022-06-08,1354,1153,36
2021-12-20,52753,62184,68
2022-06-08,1,2,80
2021-01-15,16387,15615,63
2022-01-05,4645,5796,134
2022-06-13,702,770,5
2021-01-15,1095,1270,135
2022-01-05,389,381,125
2021-12-02,563,747,111
2021-04-19,448,500,121
2021-01-24,102,104,70
2021-12-20,1731,1752,4
2022-01-05,151,515,49
2021-01-15,776,1016,15
2021-05-05,13538,14596,104
2021-01-15,128,140,132
2022-06-08,2,4,40
2021-12-02,8406,7931,91
2021-01-15,1384,2439,133
2021-12-02,3802,4025,58
2021-12-20,16712,14205,105
2021-04-19,10074,10673,65
2021-01-15,142,164,113
2022-06-08,7,14,82
2022-01-05,1019,1204,131
2022-01-05,1316,1219,10
2021-03-15,425,360,34
2022-06-08,1038,1970,41
2022-01-05,34962,37399,68
2021-03-15,224,251,3
2022-06-13,1348,1753,61
2021-12-20,533,681,125
2021-05-05,117,113,79
2022-06-13,5122,4395,101
2021-01-15,1970,1802,77
2022-01-05,630,640,4
2022-06-13,1308,1237,124
2021-12-20,3121,3493,134
2021-12-20,713,930,49
2021-01-15,21,37,126
2021-12-02,127,132,85
2022-06-13,377,344,0
2021-05-05,703,537,97
2021-04-19,254,217,22
2021-12-20,2403,4934,136
2021-12-02,4176,1509,107
2021-01-15,4,778,16
2022-06-08,11,422,125
2021-12-02,17671,16280,103
2022-06-13,861,1030,129
2021-01-15,7701,9235,104
2022-06-08,4608,4953,134
2022-06-13,2536,2238,96
2021-12-20,850,1348,85
2021-12-20,1395,2200,55
2021-12-02,7087,6600,64
2021-12-02,1722,1650,43
2021-05-05,4368,3924,31
2021-12-02,2493,2553,12
2022-06-13,7,71,37
2021-01-24,1173,1073,33
2022-01-05,3668,4031,91
2021-04-19,2146,4233,84
2021-12-02,8998,11156,19
2022-01-05,1447,2429,55
2022-06-13,1588,1451,76
2021-12-02,16277,15681,57
2022-06-08,762,734,4
2022-06-13,7,338,39
2021-12-02,3255,3295,89
2021-01-24,14,22,38
2022-06-13,1114,1035,53
2021-01-15,397,122,121
2021-12-02,1380,1417,116
2021-01-24,1433,1970,64
2021-12-20,5696,8022,58
2021-12-20,1216,1270,111
2021-12-02,2,2,8
2022-06-13,3,101,51
2021-05-05,1,2,88
2021-12-02,6,9,86
2021-05-05,1,1,13
2021-01-24,37,42,108
2022-06-13,7254,7696,63
2021-05-05,246,212,22
2021-01-24,8099,10456,62
2021-03-15,121,120,70
2022-06-08,3226,3266,10
2021-12-02,1551,1788,26
2021-05-05,2673,3235,71
2022-06-08,6105,7176,49
2021-01-24,982,1586,25
2022-01-05,495,598,85
2021-05-05,56,174,23
2021-01-15,10507,9910,65
2021-04-19,3609,3761,31
2021-04-19,453,475,97
2022-06-13,602,787,21
2022-01-05,3150,3311,136
2021-12-02,25,23,98
2021-12-02,59213,45845,62
2021-12-02,10589,8991,33
2021-12-02,610,843,99
2022-06-13,5,19,110
2022-06-08,22886,27633,68
2022-06-08,1250,1944,131
2021-12-02,1222,1828,108
2021-12-02,970,1080,30
2022-01-05,109,102,111
2022-06-13,189,292,7
2021-12-02,6168,3238,46
2021-01-24,2989,3563,103
2021-05-05,2890,3813,84
2022-06-13,1264,1403,14
2022-06-13,888,989,69
2021-12-20,7367,8902,91
2022-06-13,130,167,117
2021-12-02,7074,6540,25
2021-04-19,8,7,13
2021-01-15,74,74,79
2022-01-05,4060,4625,58
2022-01-05,2719,2544,31
2021-12-20,4975,5272,127
2022-06-13,9074,10682,68
2021-05-05,7498,7003,33
2022-06-13,322,330,4
2021-04-19,3416,3302,25
2021-05-05,66,163,108
2021-12-20,361,391,23
2022-06-08,12327,11856,65
2022-06-08,3950,5539,119
2021-01-24,3974,4813,61
2021-12-20,1,5,87
2021-01-24,52,28,118
2022-06-13,2134,2567,49
2022-06-08,164,205,47
2021-04-19,318,351,112
2021-03-15,1860,4350,84
2021-04-19,8831,9835,103
2021-05-05,148,245,38
2021-12-02,914,1131,35
2022-01-05,1660,1900,97
2022-01-05,6753,6451,44
2021-12-20,10468,11057,84
2021-04-19,24486,29066,62
2022-01-05,373,397,13
2022-06-08,2844,3524,109
2021-05-05,10886,10066,103
2021-12-20,64,25,74
2021-04-19,827,882,98
2022-06-13,843,971,131
2021-12-20,57,63,114
2021-12-20,6686,5870,31
2022-01-05,1568,2076,127
2022-06-13,302,286,125
2022-06-08,12026,15349,67
2021-04-19,79,82,108
2022-01-05,7333,7520,84
2021-05-05,4216,4783,64
2021-12-20,18,15,130
2021-12-20,1633,239,120
2021-04-19,3336,3854,33
2021-01-15,16,32,70
2022-06-08,12737,13747,104
2022-06-13,1771,2734,134
2021-01-24,5,1416,122
2021-03-15,92,85,22
2021-05-05,3563,4053,25
2022-01-05,1032,977,23
2022-06-08,3101,5192,24
2021-03-15,335,340,97
2022-06-08,30,206,79
2022-06-08,22,272,75
2022-01-05,130,113,73
2021-12-20,9865,8449,44
2021-12-20,269,267,73
2021-04-19,293,377,38
2021-12-20,3104,3258,97
2021-01-24,1,2,115
2021-05-05,298,312,112
2021-05-05,29023,31966,62
2021-03-15,2493,2717,31
2022-01-05,956,1693,120
2021-05-05,842,919,98
2021-12-02,1964,1998,5
2021-04-19,3951,4488,64
2021-12-02,2161,2749,122
2022-06-08,1025,1164,121
2021-01-24,48,88,50
2022-06-08,10524,13526,60
2022-01-05,19,25,74
2022-06-13,185,556,10
2021-12-20,1311,1383,13
2022-06-08,3,5,78
2021-01-15,2255,3278,84
2021-12-20,2410,2385,116
2021-05-05,447,353,115
2021-12-20,2102,2679,26
2021-03-15,2623,2675,33
2022-01-05,5595,7339,107
2022-01-05,2,12,86
2022-06-13,4138,3851,65
2021-01-15,2489,2506,31
2021-03-15,1217,1165,108
2022-01-05,13372,15443,57
2021-04-19,402,546,50
2022-06-08,8337,9304,58
2021-12-20,2416,1040,43
2022-01-05,9848,12201,103
2022-01-05,436,622,99
2021-12-20,7943,7203,64
2022-06-13,2335,2744,119
2021-01-24,1705,1865,90
2021-12-20,56028,44014,62
2021-12-20,1987,1977,30
2022-01-05,647,596,43
2021-12-20,1491,1802,98
2021-12-02,570,666,41
2021-03-15,189,229,38
2022-06-13,1399,1715,109
2022-01-05,4325,4980,25
2022-06-08,20656,25741,56
2021-12-20,4584,4665,89
2021-12-20,9267,12003,46
2021-03-15,7610,8805,103
2021-01-24,5031,4833,18
2021-05-05,233,242,5
2021-01-15,99,103,22
2021-05-05,626,1632,122
2021-12-20,9,6,86
2021-12-20,12425,12042,19
2022-06-08,3098,4582,85
2021-12-20,3816,5214,12
2021-04-19,10608,12075,61
2021-12-20,2119,2787,108
2021-12-20,6153,4144,107
2021-04-19,167,150,118
2021-01-24,5,2,6
2022-06-13,3507,4736,60
2022-01-05,1791,2043,26
2021-04-19,407,324,115
2022-01-05,1198,1240,116
2022-06-13,4,83,75
2021-03-15,4550,4912,64
2022-06-13,5269,5849,67
2022-01-05,916,961,30
2022-01-05,6557,6611,64
2022-06-13,6206,6423,104
2022-06-13,11,51,79
2021-03-15,3213,3581,25
2021-12-20,1019,1328,99
2022-01-05,23833,27303,62
2021-12-20,15606,17106,33
2021-12-02,424,500,92
2021-12-20,3,2,8
2022-06-13,30,63,47
2022-06-13,2798,3526,24
2021-05-05,718,990,50
2022-01-05,1368,1566,98
2021-12-02,466,509,28
2022-01-05,1201,1527,108
2021-12-20,7430,8129,25
2021-12-02,1,1,1
2021-12-20,20227,16195,103
2021-01-24,88,130,100
2021-12-20,19179,21665,57
2022-01-05,4996,6100,46
2022-01-05,8549,8272,33
2021-03-15,209,236,112
2021-04-19,739,2376,122
2021-03-15,22750,27073,62
2021-12-02,445,300,36
2022-06-08,1596,2462,136
2021-01-24,29,17,28
2022-01-05,2009,2818,12
2022-01-05,3422,3671,89
2022-01-05,3201,4496,19
2022-06-08,6417,1096,91
2021-03-15,358,342,98
2021-01-15,2432,2198,97
2021-05-05,12401,13628,61
2021-05-05,199,293,118
2022-06-13,301,358,121
2021-01-24,12,275,11
2021-12-02,4,29,32
2022-06-08,6,88,111
2021-01-24,802,986,72
2021-12-02,745,936,69
2021-05-05,297,415,100
2021-12-20,2475,3072,5
2021-01-15,65,68,112
2021-12-02,1911,2664,135
2022-01-05,1121,1323,122
2021-01-15,25010,30725,62
2021-03-15,235,233,115
2021-12-02,24458,22839,63
2022-06-13,11340,13924,56
2021-01-24,341,1276,128
2021-12-02,444,682,39
2021-01-15,6554,6363,64
2021-01-24,341,628,77
2022-06-13,2364,2603,58
2021-01-24,2844,3518,53
2021-05-05,179,247,28
2022-06-08,4345,3856,120
2021-01-24,390,616,94
2021-01-15,3744,3753,33
2021-12-02,269,235,110
2021-04-19,3663,4215,90
2021-12-02,423,87,37
2021-04-19,218,215,28
2021-01-24,216,265,135
2022-06-08,3315,3002,13
2021-01-15,135,104,108
2021-12-02,4559,4252,133
2021-04-19,1492,1687,11
2021-12-02,556,764,21
2021-05-05,8853,6875,18
2021-12-02,5869,6730,53
2021-03-15,4,1839,122
2021-12-20,1810,1981,35
2022-06-08,40,292,23
2022-06-13,1062,1366,85
2021-12-20,54,41,0
2021-12-02,1298,1073,96
2021-01-15,101,130,38
2022-06-08,4,6,87
2021-12-20,1790,2024,122
2021-01-24,1005,931,15
2022-06-08,1754,3099,45
2021-01-24,4,5,132
2021-05-05,2,2,93
2022-01-05,2065,1716,5
2021-12-02,6864,6933,76
2021-12-02,1153,1282,113
2021-01-24,1731,2917,133
2021-01-24,4748,6584,63
2021-04-19,2759,3280,72
2021-01-15,7381,8490,103
2021-04-19,549,644,100
2021-03-15,214,267,50
2021-12-02,1499,1738,102
2021-12-02,55865,51024,66
2021-12-02,3351,4235,94
2022-06-13,8,19,111
2022-06-13,1000,1100,136
2021-05-05,2323,2615,11
2022-06-08,134,144,2
2021-04-19,7857,7081,18
2021-04-19,1005,1069,6
2021-01-24,67,96,113
2021-12-02,508,708,117
2021-01-15,3569,3495,25
2022-06-08,3002,3834,31
2021-12-02,3918,4166,14
2021-01-24,9,10,126
2021-03-15,9868,11645,61
2021-03-15,173,189,118
2022-01-05,901,897,35
2021-05-05,4008,4200,90
2021-03-15,604,690,100
2022-01-05,700,642,28
2022-06-08,8678,11022,33
2021-04-19,1221,1452,135
2022-01-05,442,526,81
2021-04-19,15575,17238,63
2022-06-08,352,389,99
2021-05-05,586,663,113
2021-12-02,2447,2425,10
2021-01-15,12606,14529,61
2021-04-19,206,264,15
2022-06-08,4251,5417,20
2022-01-05,20,127,32
2022-06-13,3068,2636,120
2021-12-02,594,591,125
2022-06-13,73,63,74
2022-06-13,999,1281,31
2021-03-15,2542,3006,72
2022-06-13,2,2,13
2021-03-15,224,254,28
2021-12-02,2205,2076,134
2022-01-05,297,629,41
2021-05-05,3579,3588,94
2022-06-08,1,13,8
2021-05-05,885,857,132
2021-01-15,96,106,118
2021-12-20,693,744,92
2021-03-15,889,930,6
2021-04-19,180,194,126
2022-01-05,16,19,40
2021-05-05,2037,2640,128
2021-03-15,6042,6283,18
2021-01-24,3410,4384,105
2021-04-19,516,585,113
2022-06-13,6,6,23
2021-12-02,45985,48886,68
2021-05-05,3050,2805,77
2021-04-19,2279,3674,133
2022-06-08,8107,9016,103
2021-04-19,4455,5233,53
2022-06-13,738,816,45
2021-01-24,59,77,3
2021-12-02,1472,1482,4
2022-06-13,1,3,87
2022-06-08,1833,2066,30
2022-06-08,7040,6428,43
2021-12-20,719,842,28
2021-04-19,2649,2681,77
2021-12-20,718,765,81
2021-05-05,1558,1801,135
2022-06-08,2991,3428,12
2021-12-02,136,168,49
2021-05-05,17729,18729,63
2022-06-08,9750,11525,57
2021-12-20,943,1076,41
2022-01-05,9,45,1
2021-05-05,364,356,15
2022-06-13,15,26,2
2021-12-02,13073,13835,105
2022-06-08,8,6,86
2021-04-19,451,453,132
2021-04-19,1347,2327,128
2021-05-05,2,81,37
2021-03-15,2278,1715,11
2021-12-02,1824,1792,131
2021-05-05,225,176,126
2021-04-19,2512,2869,94
2021-12-20,51,49,40
2021-05-05,1985,3184,133
2022-06-08,1742,2498,116
2021-01-15,137,118,115
2021-12-20,260,408,32
2021-01-15,118,171,50
2021-12-20,67,169,1
2021-05-05,5699,6030,53
2022-06-08,13032,16087,62
2022-06-08,2635,2709,98
2021-03-15,2771,3348,90
2022-06-08,2648,3328,46
2022-01-05,176,416,92
2021-12-02,21590,21181,104
2022-06-13,1737,1918,98
2021-01-15,3765,4362,90
2022-06-13,31,737,20
2022-01-05,1824,1848,102
2021-12-20,5160,5916,14
2021-03-15,1699,1616,77
2021-01-15,7105,6040,18
2022-01-05,367,405,37
2021-03-15,234,319,113
2021-12-02,7223,9131,17
2022-01-05,895,793,7
2022-01-05,907,1037,113
2021-03-15,72,83,126
2021-12-20,1429,1718,69
2022-01-05,4297,4501,76
2021-12-02,310,281,75
2021-04-19,307,338,3
2021-12-20,1038,1364,21
2021-05-05,7938,8403,105
2021-04-19,311,294,34
2022-06-13,6370,7735,62
2021-12-20,7095,8359,53
2022-06-08,3780,3668,124
2021-03-15,2443,3117,94
2021-03-15,411,424,132
2022-01-05,81,99,39
2021-12-02,959,1158,79
2021-03-15,992,2610,128
2021-12-20,102,83,96
2022-01-05,207,260,117
2022-06-13,3089,3503,33
2022-06-08,1496,1803,5
2021-12-20,917,1143,39
2022-06-13,3,6,8
2022-06-13,136,162,99
2021-01-24,3245,4314,65
2021-12-02,7532,9362,60
2022-06-13,628,658,30
2021-12-20,24226,22210,63
2022-06-13,1470,1511,46
2021-01-15,2119,1393,11
2021-01-24,65,58,79
2022-06-13,3485,3898,103
2021-01-15,3039,2727,6
2022-06-13,2856,2771,43
2022-01-05,938,1172,21
2021-12-02,1014,1186,121
2021-12-02,4912,6062,119
2022-01-05,3278,3600,14
2022-01-05,3425,4095,94
2021-03-15,1051,1176,135
2021-12-20,2500,2651,102
2021-03-15,15085,16366,63
2021-12-20,1,6,110
2022-06-13,1292,1284,12
2021-12-20,2036,2296,37
2022-01-05,26344,31434,66
2022-06-13,469,516,86
2021-12-02,15932,14554,65
2021-03-15,44,111,15
2021-05-05,476,430,34
2022-06-13,3423,4555,57
2021-12-20,4353,4725,133
2022-01-05,1137,1284,69
2021-05-05,2,2,29
2021-12-20,8843,7592,76
2021-12-20,1225,1254,113
2022-01-05,17445,19994,63
2022-06-13,814,828,116
2022-06-08,11830,12176,101
2021-01-24,2576,3678,104
2021-05-05,189,219,3
2021-04-19,7178,8320,105
2021-12-02,1721,1628,47
2022-01-05,4786,5327,53
2021-03-15,1947,3681,133
2021-01-24,112,477,121
2021-12-20,73,58,7
2022-01-05,20,87,96
2021-12-20,49211,49748,66
2021-03-15,5042,5723,53
2021-12-20,5158,6394,94
2022-06-08,878,625,0
2021-01-15,4087,3815,72
2021-01-15,65,73,28
2021-01-15,339,496,100
2021-12-20,1129,1316,117
2022-06-08,3316,4465,61
2022-06-13,568,638,92
2021-12-20,11868,13398,17
2021-12-02,614,631,23
2022-06-08,59,305,96
2021-01-24,625,2549,84
2021-01-24,412,543,31
2021-03-15,183,228,121
2022-01-05,268,329,121
2021-12-02,4690,5189,127
2021-12-02,2234,2197,97
2021-03-15,9484,10279,65
2022-06-08,286,409,51
2021-12-02,5,5,74
2021-12-20,821,802,75
2021-12-02,5356,5166,31
2021-12-20,16464,16519,65
2022-01-05,14196,15185,104
2021-05-05,339,375,70
2022-06-08,2696,3383,14
2021-12-20,6526,8098,60
2022-06-13,4,5,81
2021-12-02,5,4,114
2021-12-20,1648,1664,79
2021-01-15,52,71,3
2021-01-15,6879,8350,105
2021-12-20,8509,9321,119
2022-06-08,2710,2423,69
2021-01-15,143,127,34
2022-01-05,2381,4345,47
2021-03-15,9392,11315,104
2021-12-02,1319,3375,120
2022-06-08,13558,15825,63
2022-06-08,21,34,39
2022-06-13,603,555,40
2022-01-05,5161,6276,17
2022-06-08,911,1025,117
2022-06-13,478,560,1
2021-12-20,1709,1697,121
2021-12-02,12,15,130
2022-06-08,2547,2768,21
2022-06-08,4,12,37
2021-12-02,4179,5314,84
2022-01-05,6619,7990,60
2021-03-15,137,132,79
2022-06-08,5,111,110
2022-01-05,33,39,75
2021-04-19,288,301,70
2021-12-02,6,12,13
2022-01-05,8569,11114,65
2022-06-08,669,631,7
2022-06-13,404,490,28
2022-01-05,4457,5421,119
2021-12-02,10200,9391,44
2021-12-02,8,24,73
2022-06-08,5302,4870,76
2021-12-20,26236,23246,104
2022-06-08,5865,5888,129
2022-06-08,3722,3509,53
2021-12-20,4642,5632,47
2021-01-24,632,674,97
2022-06-13,941,1467,41
2022-01-05,791,883,79
2021-12-21,2496,2390,4
2022-05-08,30,100,81
2021-10-06,3253,4453,57
2021-09-17,739,666,22
2021-09-17,6785,6168,44
2022-05-11,15757,17072,63
2021-11-28,1,2,74
2021-11-28,3137,4129,84
2022-04-04,5801,3558,134
2022-05-11,18,143,39
2021-10-06,376,569,46
2022-05-08,521,886,41
2021-11-28,4172,5384,31
2021-09-17,610,662,127
2021-07-16,258,254,28
2021-12-21,1145,1204,49
2021-07-16,437,647,100
2021-11-28,1365,908,120
2021-11-28,3,8,13
2021-12-21,18007,15699,105
2022-05-11,11,92,110
2022-05-11,209,233,51
2022-05-11,28,31,37
2021-07-30,7232,7986,105
2022-05-08,68,80,40
2021-11-28,22,23,130
2022-05-11,490,467,7
2021-07-16,10436,8947,18
2022-05-11,2500,2966,21
2022-05-08,217,397,32
2022-05-11,4057,3754,53
2021-11-28,728,769,23
2021-10-06,325,303,43
2022-05-08,109,433,1
2021-07-30,338,455,131
2021-12-21,2606,2373,131
2021-11-28,2,8,87
2021-10-06,3120,3242,25
2022-05-08,1,4,36
2022-05-08,246,270,82
2022-05-11,6488,4414,129
2021-09-17,3257,4262,71
2022-05-08,23,28,80
2021-12-21,8051,11383,60
2022-05-11,5425,5882,49
2021-11-28,5951,5446,25
2021-09-17,1386,1545,98
2021-11-28,17088,16711,103
2022-05-08,1059,1486,14
2021-11-28,15165,17310,57
2021-12-21,816,795,75
2022-05-11,933,1000,4
2022-04-04,7188,7901,119
2021-07-16,19174,19118,63
2021-11-28,3785,3803,89
2021-11-28,5343,8327,46
2021-07-16,1164,1826,135
2021-07-30,10019,11521,104
2021-12-21,1789,1976,79
2022-05-08,84,92,69
2021-11-28,3,2,86
2021-12-21,26826,24762,104
2022-04-04,9408,10676,65
2021-07-30,299,376,79
2021-10-06,676,830,5
2021-11-28,3159,3752,12
2021-09-17,13,176,112
2021-12-21,5153,8486,47
2022-05-08,511,793,21
2021-07-16,2351,2194,15
2021-09-17,735,1099,108
2021-09-17,1738,1772,19
2021-09-17,475,912,26
2021-11-28,1924,1883,116
2021-11-28,3744,3497,107
2021-07-16,62,1348,110
2021-07-16,1977,1589,37
2022-05-11,2345,2886,131
2021-07-16,1708,2020,133
2022-05-08,2339,2087,129
2022-05-08,1654,1079,53
2021-12-21,1129,103,78
2022-05-08,1,682,96
2021-07-16,468,567,113
2021-07-16,4861,5691,53
2021-09-17,6381,6858,33
2021-07-30,414,462,121
2021-11-28,1302,1271,43
2021-09-17,131,126,8
2021-09-17,14160,13375,103
2022-05-08,5471,6041,63
2021-09-17,4663,6061,64
2021-11-28,52268,50717,62
